Meting [#],Magnetische fluxdichtheid [T]
1,1.392
2,1.408
3,1.391
4,1.415
5,1.403
6,1.394
7,1.393
8,1.407
9,1.398
10,1.406
11,1.395
12,1.385
13,1.404
14,1.395
15,1.401
